patient_id,ho_ten,cccd,ngay_sinh,so_dien_thoai,email,dia_chi,benh,ket_qua_xet_nghiem,bac_si_phu_trach,ngay_kham
bdd640fb-0667-4ad1-9c80-317fa3b1799d,BN_0001,223005401501,1950s,0599091699,patient.0001@example.com,"Ocean Park 1, Gia Lâm, Hà Nội",Khỏe mạnh,5.37,BS. Nguyễn Hoài An,31/01/2026
562b0f79-c374-49ee-b50b-ea63371ecd7b,BN_0002,911856239313,1940s,0954353462,patient.0002@example.net,"Ocean Park 1, Gia Lâm, Hà Nội",Khỏe mạnh,4.17,BS. Lê Thanh Huyền,18/06/2026
7412b293-4729-4739-a14f-f3d719db3ad0,BN_0003,367469214295,1960s,0775107991,patient.0003@example.org,"Ocean Park 1, Gia Lâm, Hà Nội",Tiểu đường,8.68,BS. Phạm Thu Trang,20/06/2026
a7cad415-366e-416f-908e-bad7b7c93acf,BN_0004,251282538206,1970s,0383842513,patient.0004@example.com,"Ocean Park 1, Gia Lâm, Hà Nội",Khỏe mạnh,6.86,BS. Đỗ Ngọc Minh,26/04/2026
988c24c9-61b1-4d22-a280-1c4510435a10,BN_0005,214832269481,1950s,0742784980,patient.0005@example.net,"Ocean Park 1, Gia Lâm, Hà Nội",Huyết áp cao,10.23,BS. Trần Bảo Ngọc,05/04/2026
5cec4eb5-edd9-4831-9ca3-5cfb04fc6d82,BN_0006,914655221101,1960s,0941241182,patient.0006@example.org,"Ocean Park 2, Văn Giang, Hưng Yên",Tim mạch,11.76,BS. Lê Quang Hưng,27/03/2026
1efa2197-7394-488f-847f-d9b4e64d1bcb,BN_0007,700832336208,1930s,0749353487,patient.0007@example.com,"Ocean Park 2, Văn Giang, Hưng Yên",Tiểu đường,5.55,BS. Vũ Minh Châu,06/02/2026
6e595ed3-a8b3-47fa-98d0-752b1825bc54,BN_0008,748913461122,1940s,0701640052,patient.0008@example.net,"Ocean Park 2, Văn Giang, Hưng Yên",Khỏe mạnh,4.53,BS. Đặng Gia Khánh,12/06/2026
ed2662e9-17e0-41b7-b810-238303c72ba8,BN_0009,136171878809,2000s,0727868011,patient.0009@example.org,"Ocean Park 2, Văn Giang, Hưng Yên",Huyết áp cao,8.08,BS. Nguyễn Hoài An,12/01/2026
80bacd64-7a0e-4fea-958c-a9ba0cd620c2,BN_0010,198912225902,1960s,0580598262,patient.0010@example.com,"Ocean Park 3, Văn Giang, Hưng Yên",Khỏe mạnh,4.69,BS. Lê Thanh Huyền,26/01/2026
750cab75-4ccc-4bc2-a53f-8a28abf3e3fc,BN_0011,354342113419,1940s,0345053315,patient.0011@example.net,"Ocean Park 3, Văn Giang, Hưng Yên",Khỏe mạnh,3.52,BS. Phạm Thu Trang,31/01/2026
35ebd32d-9ad6-40ab-8821-2ddb45b89cd9,BN_0012,763595448017,2000s,0969232260,patient.0012@example.org,"Ocean Park 3, Văn Giang, Hưng Yên",Huyết áp cao,3.98,BS. Đỗ Ngọc Minh,25/01/2026
e623a689-5d59-4d2a-8eea-04e70ab54bde,BN_0013,714294294451,1960s,0556342160,patient.0013@example.com,"Ocean Park 3, Văn Giang, Hưng Yên",Tim mạch,5.24,BS. Trần Bảo Ngọc,31/01/2026
61ee411a-1bac-47a7-b386-f7a4c991603f,BN_0014,886833016361,1960s,0833754330,patient.0014@example.net,"Ocean Park 1, Gia Lâm, Hà Nội",Tiểu đường,10.97,BS. Lê Quang Hưng,23/01/2026
2db69edb-42de-4fcc-b86c-2ca2e08596db,BN_0015,871590378377,1990s,0565414586,patient.0015@example.org,"Ocean Park 1, Gia Lâm, Hà Nội",Huyết áp cao,9.6,BS. Vũ Minh Châu,02/03/2026
6703b636-5380-4904-a88c-7015aab97e49,BN_0016,561902006518,1960s,0950142940,patient.0016@example.com,"Ocean Park 1, Gia Lâm, Hà Nội",Tiểu đường,11.53,BS. Đặng Gia Khánh,04/06/2026
bc67f831-cbc8-4759-b5b7-8cc7e6b3c944,BN_0017,590573056992,1980s,0396556981,patient.0017@example.net,"Ocean Park 1, Gia Lâm, Hà Nội",Huyết áp cao,11.37,BS. Nguyễn Hoài An,12/02/2026
b227462c-f53d-4330-8dda-24ba2d06e8cf,BN_0018,407473554860,1950s,0893406088,patient.0018@example.org,"Ocean Park 1, Gia Lâm, Hà Nội",Huyết áp cao,3.7,BS. Lê Thanh Huyền,05/04/2026
709b7d97-464c-44af-bd3f-3799a07295e9,BN_0019,933251567391,1960s,0556159514,patient.0019@example.com,"Ocean Park 2, Văn Giang, Hưng Yên",Tim mạch,9.69,BS. Phạm Thu Trang,16/05/2026
c3fe0183-e172-4725-9b52-ca5805000bc6,BN_0020,275259659197,1970s,0946564823,patient.0020@example.net,"Ocean Park 2, Văn Giang, Hưng Yên",Tiểu đường,9.62,BS. Đỗ Ngọc Minh,28/06/2026
88bc539c-9f4c-4b79-bb10-987f20ac3703,BN_0021,566854953850,1930s,0862994680,patient.0021@example.org,"Ocean Park 2, Văn Giang, Hưng Yên",Huyết áp cao,7.15,BS. Trần Bảo Ngọc,26/05/2026
f3b1025b-fff9-4585-8d55-7b618a175dfe,BN_0022,406404042870,1930s,0743699577,patient.0022@example.com,"Ocean Park 2, Văn Giang, Hưng Yên",Huyết áp cao,11.86,BS. Lê Quang Hưng,21/01/2026
4fdc6e1b-edcb-4cb6-8692-dc639424aed5,BN_0023,336890980656,1960s,0838721489,patient.0023@example.net,"Ocean Park 3, Văn Giang, Hưng Yên",Khỏe mạnh,4.63,BS. Vũ Minh Châu,04/02/2026
